Date,Valeur_des_transactions,Capitalisation_Actions,Capitalisation_Obligations,BRVM_10,BRVM_Composite,Taux_BRVM_10,BRVM_PRESTIGE
17/12/2025 - 00:00,705 309 040,13 349 140 454 961,11 411 822 207 762,"165,64","346,23","+0,07%","142,04"
16/12/2025 - 00:00,954 201 538,13 339 277 290 101,11 414 426 914 294,"165,52","345,97","-0,39%","142,03"
28/11/2025 - 00:00,764 802 802,10 674 284 903 433,10 674 284 903 433,"165,55","345,91","-0,32%",49416
03/09/2025 - 21:30,1163901931,12345088580089,10920892403542,"155,89","320,19","0,29 %","133,43"
02/09/2025 - 21:30,704656684,12309801340854,10860892403542,"155,44","319,27","0,14 %","132,79"
01/09/2025 - 21:30,790957838,12317256711862,10868977403542,"155,22","319,47","-0,22 %","133,29"
29/08/2025 - 21:30,788754054,12358290052139,10867462124542,"155,56","320,53","0,44%","132,87"
28/08/2025 - 20:30,530352967,12298732055149,10872703244364,"154,88","318,99","0,13 %","132,00"
27/08/2025 - 21:33,928086472,12283685189569,10857976074364,"154,68","318,59","-0,85 %","131,86"
26/08/2025 - 21:33,1165198507,12373005426944,10873794561595,"156,01","320,91","1,30%","132,70"
25/08/2025 - 20:30,2429481620,12241726057262,10433373721595,"154,01","317,51","-0,51 %","131,24"
22/08/2025 - 21:30,835518880,12300790809704,10456443175595,"154,80","319,04","0,00 %","132,12"
21/08/2025 - 20:30,1012702575,12283655495294,10472436415595,"154,80","318,59","0,49%","132,08"
20/08/2025 - 21:30,925776675,12233573677139,10456818870595,"154,05","317,30","-0,06 %","131,71"
19/08/2025 - 20:30,868057234,12249965421279,10469511415675,"154,15","317,72","0,51%","131,38"
18/08/2025 - 21:33,834104525,12176866738489,10469523790675,"153,37","315,82","0,45%","130,83"
14/08/2025 - 21:30,620979659,12136357810727,10497762895675,"152,69","314,77","0,57%","129,75"
13/08/2025 - 20:30,801029128,12080932421884,10503820570675,"151,83","313,34","0,30 %","128,82"
12/08/2025 - 21:30,1538930634,12044941395357,10506391670075,"151,38","312,40","0,29%","129,02"
11/08/2025 - 18:00,1656977774,12020422505515,10507597002275,"150,94","311,77","0,12%","128,77"
08/08/2025 - 21:30,2917308295,12018441102062,10522749783275,"150,76","311,72","-0,15%","127,91"
06/08/2025 - 20:30,371598049,12027475254837,10525582236285,"150,98","311,95","0,33%","128,94"
05/08/2025 - 20:30,875712761,11985628906740,10525353061285,"150,48","310,86","-0,11%","129,00"
04/08/2025 - 21:33,617014546,12002159584312,10525353061285,"150,65","311,29","-0,55%","128,20"
01/08/2025 - 19:30,1060183489,12071675502602,10555445547685,"151,49","313,10","0,44%","129,27"
31/07/2025 - 20:30,904689466,11986638853437,10588452647125,"150,82","310,89","-0,22%","128,86"
30/07/2025 - 21:30,765691271,12001422082697,10581702647125,"151,16","311,27","-0,18%","129,66"
29/07/2025 - 18:30,5099767308,11982453833842,10633180066615,"151,44","310,78","0,05%","129,94"
28/07/2025 - 21:30,1282254058,11955967378837,10654738318712,"151,95","310,10","-0,11%","130,07"
28/07/2025 - 21:30,1292651063,11941833895272,10646100453215,"151,37","309,73","-0,93 %","130,05"
24/07/2025 - 09:30,1282254058,11955967378837,10654738318712,"151,95","310,10","-0,11 %","130,07"
23/07/2025 - 20:33,1166542169,11922758181227,10653891562895,"152,11","309,23","-0,28%","129,75"
22/07/2025 - 21:30,6623670318,11919909585442,10649641113895,"152,53","309,16","0,52%","130,29"
21/07/2025 - 21:30,1662091808,11853673110424,10643026590415,"151,74","307,44","-0,02%","129,09"
18/07/2025 - 21:30,1021648652,11834679871992,10654357288285,"151,77","306,95","-0,02%","129,18"
16/07/2025 - 21:30,2746849985,11962110496274,10240882695533,"153,83","310,25","1,15 %","131,51"
16/07/2025 - 21:30,2746849985,11962110496274,10240882695533,"153,83","310,25","1,15 %","131,51"
15/07/2025 - 21:30,703513602,11817957376852,10241042061287,"152,08","306,52","0,64%","130,42"
14/07/2025 - 21:30,765660475,11762399705187,10246180699287,"151,12","305,07","-0,65 %","129,74"
11/07/2025 - 21:30,840445475,11795522315572,10297749501287,"152,11","305,93","-0,08 %","130,36"
10/07/2025 - 21:30,542475302,11774676431547,10312468577795,"152,23	%","305,39","0,55","130,63"
09/07/2025 - 20:30,687461764,11719057931857,10323522254824,"151,40","303,95","-0,13%","129,37"
08/07/2025 - 21:30,1427387583,11739445103209,10317334754824,"151,60","304,48","-1,13 %","128,77"
07/07/2025 - 21:30,874118423,11887761331664,10324039429876,"153,34","308,33","-0,46 %","131,49"
04/07/2025 - 21:30,1081921240,11947783103594,10364926267366,"154,05","309,88","0,24%","132,12"
03/07/2025 - 21:30,1218100839,11886170478504,10363563530460,"153,68","308,28","0,83%","131,31"
02/07/2025 - 21:30,944098339,11804028137854,10370188230177,"152,41","306,15","-1,03 %","130,48"
01/07/2025 - 20:30,1079879473,11892513068026,10372191266317,"153,99","308,45","-1,18%","131,55"
30/06/2025 - 21:30,1394771796,12031026229041,10405651208727,"155,83","312,04","0,97%","132,51"
27/06/2025 - 21:30,1078484187,11926197244839,10408039726491,"154,34","309,32","-1,12%","131,19"
26/06/2025 - 20:30,1188193230,12036052561136,10404920492761,"156,09","312,12","0,85%","131,96"
25/06/2025 - 21:30,2164087111,11953683084551,10411042656707,"154,78","309,98","-0,70%","131,11"
24/06/2025 - 20:30,1436946304,12028233476931,10412118507387,"155,87","311,92","-0,16%","131,54"
23/06/2025 - 21:30,1313712148,12047092868691,10417918507387,"156,12","312,41","-0,13%","131,31"
20/06/2025 - 21:30,1655198250,12070845047826,10446980068587,"156,33","313,02","0,72%","130,89"
19/06/2025 - 20:30,1341523275,11990455645421,10448879449997,"155,21","310,94","0,50%","129,60"
18/06/2025 - 20:30,978538086,11919321986759,10439025013495,"154,44","309,09","0,18%","129,02"
17/06/2025 - 21:30,1328170664,11880973821901,10433568672791,"154,16","308,10","0,75%","128,32"
16/06/2025 - 20:30,1304017811,11812655490239,10472388305003,"153,01","306,33","-0,18%","127,62"
13/06/2025 - 21:35,1975983606,11806515786111,10525554019519,"153,28","306,17","-0,17 %","127,59"
12/06/2025 - 21:30,1515255993,11833419700449,10511290379589,"153,54","306,87","0,34%","127,52"
11/06/2025 - 21:35,2267664279,11785067119464,10508912586089,"153,02","305,61","0,54 %","126,88"
10/06/2025 - 21:30,2257665990,11736071587586,10510839152907,"152,20","304,34","0,55 %","124,55"
05/06/2025 - 20:30,640358200,11648123219806,10532790367901,"151,37","302,06","0,06 %","124,37"
04/06/2025 - 20:30,3124984657,11652481532376,10533790367901,"151,28","302,17","0,10 %","123,79"
03/06/2025 - 20:33,2344254107,11625962412571,10544798752416,"151,13","301,49","-0,49 %","123,64"
02/06/2025 - 21:30,1257601839,11676535415236,10546117217901,"151,87","302,80","0,08 %","124,61"
30/05/2025 - 21:30,1476136592,11685655701026,10546199973361,"151,75","303,03","0,09 %","124,82"
28/05/2025 - 21:30,1113283337,11675221529644,10541119850686,"151,61","302,76","-0,47 %","125,14"
27/05/2025 - 21:31,1006822181,11716532196011,10542711064936,"152,33","303,83","0,61%","125,71"
22/05/2025 - 21:30,1288000897,11693857477219,10544460274536,"151,81","303,25","0,20 %","126,18"
22/05/2025 - 16:33,1288000897,11693857477219,10544460274536,"151,81","303,25","0,20%","126,18"
21/05/2025 - 09:50,888502146,11667739684277,10542980631966,"151,51","302,57","-0,42%","125,62"
20/05/2025 - 20:30,782252291,11696476955175,10544373667236,"152,15","303,31","-0,31 %","126,19"
19/05/2025 - 11:40,1371645428,11699358763617,10548745828179,"152,63","303,39","0,34%","126,03"
16/05/2025 - 20:30,3014760907,11646184765357,10549497911559,"152,11","302,01","0,20%","124,72"
